"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
41,169,3,0,1,-1,1,1,0,2,-37,2,-35,"k",4.53,0.43,4.97,1,3,23,-100,61,0.262297984339966,0.360154430953116,0,1,"d",40,3,"incorrect","incorrect",0,1
42,170,3,1,1,1,1,0,0,2,46,2,48,"k",5.78,0.69,4.51,10,12,32,-100,61,0.275259886639105,0.380132552661962,0,1,"d",40,3,"incorrect","incorrect",0,1
43,171,3,0,0,-1,-1,0,0,2,-50,0,-50,"d",5.38,0.42,3.15,1,2,22,-100,60,0.245368682230037,0.350096234251396,1,1,"d",40,3,"correct","incorrect",1,0
44,172,3,0,0,-1,-1,0,0,2,-51,0,-51,"d",4.06,0.55,3.87,1,2,22,-100,61,0.229692948454613,0.330115546672459,0,1,"k",50,3,"incorrect","correct",0,1
45,173,3,1,0,1,-1,0,0,2,39,0,39,"d",5.88,0.49,3.36,10,11,31,-100,60,0.249440142182721,0.350090247226035,1,1,"d",40,3,"correct","incorrect",1,0
46,174,3,0,0,-1,-1,0,0,2,-49,0,-49,"d",4.55,0.46,3.85,1,2,22,-100,61,0.393616751345689,0.460202982849296,0,1,"k",50,3,"incorrect","correct",0,1
47,175,3,0,0,-1,-1,0,0,2,-39,0,-39,"d",4.4,0.5,3.96,1,2,22,-100,60,0.267365000498103,0.340110166904196,1,1,"d",40,3,"correct","incorrect",1,0
48,176,3,1,0,1,-1,0,0,2,50,0,50,"d",5.5,0.68,3.21,10,11,31,-100,60,0.243455971300136,0.310097226385551,1,1,"d",40,3,"correct","correct",1,0
49,177,3,0,1,-1,1,0,0,2,-50,2,-48,"k",4.66,0.58,4.35,1,3,23,-100,60,0.13325029428961,0.220031320677663,1,1,"k",50,3,"correct","correct",1,0
50,178,3,1,1,1,1,0,0,2,49,2,51,"k",5.15,0.55,4.46,10,12,32,-100,61,0.270516739856248,0.360110811223421,0,1,"d",40,3,"incorrect","correct",0,1
51,179,3,0,0,-1,-1,0,0,2,-51,0,-51,"d",6.77,0.57,4.91,1,2,22,-100,60,0.558939521670254,0.640254397108947,1,1,"d",40,3,"correct","incorrect",1,0
52,180,3,1,0,1,-1,0,0,2,45,0,45,"d",6.37,0.7,3.92,10,11,31,-100,60,0.255525237149413,0.340076525542827,1,1,"d",40,3,"correct","correct",1,0
53,181,3,1,1,1,1,1,2,8,38,8,46,"k",6.46,0.51,3.04,10,12,32,-100,60,0.229288396840275,0.31008639272477,1,1,"k",50,3,"correct","correct",1,0
54,182,3,1,1,1,1,0,2,8,33,8,41,"k",6.25,0.54,4.65,10,12,32,-100,61,0.216067056924658,0.330096445220988,0,1,"d",40,3,"incorrect","correct",0,1
55,183,3,1,1,1,1,0,2,8,49,8,57,"k",6.95,0.66,4.39,10,12,32,-100,60,0.240493820965639,0.360188072314486,1,1,"k",50,3,"correct","incorrect",1,0
56,184,3,0,0,-1,-1,0,2,8,-39,0,-39,"d",4.12,0.66,3.09,1,2,22,-100,60,0.267051964783604,0.380105468517286,1,1,"d",40,3,"correct","correct",1,0
57,185,3,0,1,-1,1,0,2,8,-56,8,-48,"k",4.59,0.43,4.76,1,3,23,-100,60,0.244934195503447,0.330147762550041,1,1,"k",50,3,"correct","correct",1,0
58,186,3,1,1,1,1,0,2,8,44,8,52,"k",4.09,0.43,4.84,10,12,32,-100,61,0.244685876645235,0.330104998109164,0,1,"d",40,3,"incorrect","correct",0,1
59,187,3,1,0,1,-1,0,2,8,56,0,56,"d",6.86,0.48,4.79,10,11,31,-100,61,0.433260814344976,0.530191838435712,0,1,"k",50,3,"incorrect","incorrect",0,1
60,188,3,1,0,1,-1,0,2,8,55,0,55,"d",4.17,0.59,4.27,10,11,31,-100,60,0.268883138178353,0.370109707899246,1,1,"d",40,3,"correct","incorrect",1,0
61,189,3,1,0,1,-1,0,2,8,38,0,38,"d",5.09,0.59,3.9,10,11,31,-100,61,0.248682356275822,0.370113129054516,0,1,"k",50,3,"incorrect","correct",0,1
62,190,3,0,1,-1,1,0,2,8,-60,8,-52,"k",6.01,0.58,3.59,1,3,23,-100,60,0.278004793606669,0.360102828526578,1,1,"k",50,3,"correct","incorrect",1,0
63,191,3,1,0,1,-1,0,2,8,40,0,40,"d",6.72,0.57,4.09,10,11,31,-100,60,0.32288693053124,0.42013954322465,1,1,"d",40,3,"correct","correct",1,0
64,192,3,0,1,-1,1,0,2,8,-54,8,-46,"k",6.07,0.41,4.9,1,3,23,-100,60,0.20162407945827,0.290090309947118,1,1,"k",50,3,"correct","correct",1,0
1,193,4,0,1,-1,1,0,2,8,-53,8,-45,"k",4.05,0.52,3.31,1,3,23,-100,60,0.192321387894481,0.310132008129585,1,1,"k",50,3,"correct","correct",1,0
2,194,4,1,1,1,1,0,2,8,55,8,63,"k",5.45,0.48,3.09,10,12,32,-100,61,0.530438446716289,0.650268974080973,0,1,"d",40,3,"incorrect","correct",0,1
3,195,4,0,0,-1,-1,0,2,8,-35,0,-35,"d",4.14,0.69,4.32,1,2,22,-100,61,0.350363939651288,0.470176220860594,0,1,"k",50,3,"incorrect","incorrect",0,1
4,196,4,0,0,-1,-1,0,2,8,-53,0,-53,"d",4.92,0.68,3.18,1,2,22,-100,60,0.396418392472697,0.500211113794649,1,1,"d",40,3,"correct","incorrect",1,0
5,197,4,0,1,-1,1,0,2,8,-30,8,-22,"k",6.64,0.49,3.63,1,3,23,-100,60,0.227415599383676,0.360109955934604,1,1,"k",50,3,"correct","correct",1,0
